User,Age,Gender,Class,Coding Experience,Technology Affinity ,Technology Affinity (median),researchGroup,INT_sessions,Participation Intensity,Pre Fluency,Pre Originality,Pre Flexibility,Pre Elaboration,Post Fluency,Post Originality,Post Flexibility,Post Elaboration,Pre Solution Attempts ,Pre Completion Time ,Pre Solution Originality,Post Solution Attempts ,Post Completion Time ,Post Solution Originality
dw1l87,14,1,5a,0,3,1,1,7,28,1,-0.018918118,8,1.8,1.079181246,-0.013221292,11,1.583333333,8.875,2.304166666,0.514662884,16.5,2.983333333,0.66943642
epr9xj,14,1,8b,0,8,2,1,5,20,1.041392685,-0.018978738,11,2.454545455,1.079181246,-0.012369772,12,2.083333333,5.625,2.254166666,0.590603815,1.25,0.306666668,0.391632263
d80o43,14,2,8a,0,6,2,1,8,32,1.041392685,-0.019773843,11,1.909090909,1.079181246,-0.011519918,12,1.25,5.75,2.345833333,0.467476311,4.2,2.463333334,0.668860551
d52lyv,14,2,1a,0,2,1,1,6,24,1,-0.020276765,7,1.7,1.079181246,-0.010017434,11,2,5.857142857,2.285416664,0.376279476,7.333333333,1.776666667,0.445059365
g025vr,14,2,6a,0,5,1,0,0,0,1.079181246,-0.020930736,11,2.083333333,1.079181246,-0.010825818,12,1.75,3.5,2.00208333,0.733356893,5,2.136666668,0.635224889
em20np,14,2,8a,0,6,2,1,3,12,1.079181246,-0.021662813,10,2.166666667,1.079181246,-0.012659875,12,1.416666667,4.125,2.304166671,0.505364003,4,0.401666666,0.40167364
d2o75q,14,1,1a,1,9,2,1,5,20,1.079181246,-0.022125813,11,2.583333333,1.079181246,-0.012853385,11,2.083333333,3.75,2.489583335,0.384072649,5.5,2.233333329,0.667932395
g0254r,14,1,6b,0,7,2,1,2,8,1.041392685,-0.022167929,9,2.272727273,1.079181246,-0.013628289,9,1.833333333,1.625,1.172916668,0.478677406,1.1,0.731666666,0.571635428
g6lmnz,14,2,4b,0,3,1,1,2,8,1,-0.022890845,10,2,1.079181246,-0.010883617,12,2.333333333,3.5,2.456249999,0.617796873,5,1.599999999,0.626614094
g3rjn8,14,1,2a,0,8,2,0,0,0,1.079181246,-0.023711466,10,2.333333333,1.079181246,-0.014385153,8,2.166666667,3.75,2.089583336,0.495729615,4.7,2.176666666,0.652215266
eyqn2z,14,2,6b,1,5,1,1,8,32,1.079181246,-0.023769588,10,3.333333333,1.079181246,-0.016898066,11,2.166666667,4.625,2.227083333,0.383139128,3.5,1.363333334,0.563207401
dw1lvo,15,2,4a,0,2,1,0,0,0,1.079181246,-0.025205723,9,3.166666667,1.079181246,-0.009460141,12,2.583333333,4.714285714,2.314583335,0.332728387,1.666666667,0.388333331,0.38592893
em20y7,14,1,7a,0,9,2,1,7,28,1.079181246,-0.025828228,11,2.083333333,1.079181246,-0.011346289,12,1.916666667,5.75,2.114583331,0.414226114,6.142857143,1.598333334,0.54147321
dqx4yn,14,2,6b,1,5,1,1,2,8,0.903089987,-0.026344416,8,1.625,1.079181246,-0.009517759,11,1.75,4.714285714,1.468750002,0.54156318,6.2,3.081666667,0.611797147
dzlo3w,14,2,1a,0,1,1,1,4,16,1.079181246,-0.027407943,10,2.583333333,1.079181246,-0.01508497,11,1.666666667,4.375,1.693749998,0.453682115,3,1.164999999,0.635264023
d2o78q,15,1,2a,0,7,2,1,10,40,1,-0.027533005,7,2.9,1.079181246,-0.016898066,4,1.666666667,3.25,1.860416667,0.513078155,3.75,2.006666665,0.475140102
g3rjvr,15,1,2a,1,9,2,1,2,8,1.079181246,-0.027779327,8,1.916666667,1.079181246,-0.01452114,11,1.666666667,4.125,1.522916665,0.417452916,2.9,1.373333333,0.67625169
d80oyy,14,2,3b,0,3,1,1,6,24,1.079181246,-0.027877113,9,2.083333333,1.079181246,-0.01171292,12,1.75,3.125,1.585416668,0.49447956,2.3,2.139999996,0.608499037
g3rj5y,14,2,2a,0,3,1,1,9,36,1.079181246,-0.028248898,10,3.666666667,1.079181246,-0.01157781,12,3.5,6.5,3.104166667,0.541080594,2.5,1.386666667,0.651954835
em2047,14,2,9a,0,7,2,1,7,28,1.079181246,-0.029111099,8,3.75,1.079181246,-0.010999239,12,2.833333333,3,3.09375,0.529448662,1.6,0.956666667,0.72004641
d2o7j0,14,2,6a,0,8,2,1,10,40,1.079181246,-0.029326917,9,3.583333333,1.079181246,-0.012041222,12,2.5,4.625,2.350000001,0.458078475,3.777777778,2.448333332,0.547857961
g6lm4z,14,2,2b,0,2,1,1,9,36,1.079181246,-0.029641026,8,2.25,1.079181246,-0.011886696,12,2.416666667,8.5,2.906249996,0.510698364,5.555555556,2.21,0.606434195
dkwy06,14,1,6b,0,9,2,1,8,32,1,-0.03059259,7,3.4,1.079181246,-0.011307714,12,2.166666667,2.625,1.506249997,0.486395344,2.5,1.283333332,0.585781893
g6lm74,14,2,3b,0,5,1,1,4,16,1.079181246,-0.031589642,8,3.25,1.079181246,-0.013318161,11,2.416666667,2.75,1.749999999,0.448600524,2.571428571,2.048333335,0.437468801
g9op7q,14,1,5b,0,7,2,0,0,0,1.079181246,-0.031806695,10,2.75,1.079181246,-0.012737269,12,2.083333333,4.875,1.285416667,0.436721691,4.333333333,1.841666669,0.599171512
g9op6x,14,1,5b,0,6,2,0,0,0,1.079181246,-0.032873807,7,1.75,1.079181246,-0.01171292,12,1.333333333,3.25,1.445833332,0.494877317,3.333333333,1.24,0.477546787
e7jn88,14,1,1a,0,8,2,1,2,8,1,-0.033150894,8,1.4,1.079181246,-0.014326886,10,1.833333333,6.375,2.072916665,0.444292779,4.4,1.675,0.607963341
evvkl7,14,2,6a,0,5,1,1,1,4,1.079181246,-0.03541378,8,2.666666667,1.079181246,-0.013143812,11,2.083333333,10.375,4.368750001,0.385554863,1.7,1.205000002,0.580844838
dn31ol,14,2,5a,0,7,2,1,6,24,1.079181246,-0.040256891,7,2.166666667,1.079181246,-0.011114891,10,2.25,4.125,1.508333334,0.413391092,1.2,1.106666668,0.613730728
d80ozy,14,2,4b,0,3,1,1,2,8,1.079181246,-0.04102231,6,3.333333333,1.079181246,-0.015007157,12,1.666666667,5,1.325000001,0.402407903,6.375,1.898333334,0.613489487
g025w9,14,2,1a,0,5,1,0,0,0,0.954242509,-0.044896891,5,2.666666667,1.079181246,-0.013861029,8,2.75,6.166666667,2.316666667,0.380069007,12.33333333,1.783333333,0.54741141
g02563,14,2,6b,0,2,1,1,5,20,1.079181246,-0.046010293,6,3,1.079181246,-0.011597109,12,2.5,5.5,2.341666667,0.604531544,4.555555556,3.156666667,0.721901336
g025x5,14,2,1a,0,1,1,1,1,4,1.041392685,-0.048650887,6,3.454545455,1.079181246,-0.012447114,10,2.75,3.666666667,0.910416667,0.327807701,4.5,1.816666666,0.576272754
em205p,14,1,7a,0,10,2,0,0,0,0.903089987,-0.048690058,5,3.5,1.079181246,-0.010729503,10,3,2.125,1.279166666,0.430641375,2.7,1.196666666,0.587742385
dw1l76,14,1,6a,1,10,2,0,0,0,1,-0.008580802,9,1.4,1.041392685,-0.011044795,11,1.636363636,2.375,2.46875,0.507550948,2.6,2.34,0.55688329
dw1lm6,14,2,4a,0,6,2,1,6,24,1.079181246,-0.015612232,11,2.25,1.041392685,-0.013342822,11,2.454545455,8.25,3.418749998,0.468229489,5.6,2.403333334,0.618107548
em201p,15,1,8a,1,10,2,0,0,0,1,-0.019217117,9,2.1,1.041392685,-0.015695579,10,1.454545455,2.75,1.389583335,0.350475811,5.5,3.850000001,0.622087542
g6lmx0,15,2,4b,0,5,1,1,7,28,1.041392685,-0.025317071,10,3,1.041392685,-0.008027394,11,2.181818182,3.5,2.716666665,0.471160466,1.7,1.511666667,0.578477816
e7jnyy,14,1,3a,0,8,2,1,2,8,0.954242509,-0.025458508,8,2.555555556,1.041392685,-0.007026235,10,2.181818182,6.125,1.854166665,0.382590436,2.2,1.163333335,0.632870048
em20l7,14,2,8a,0,6,2,1,3,12,1.079181246,-0.02604242,9,2.083333333,1.041392685,-0.013765802,10,1.454545455,4.25,2.889583334,0.471050214,5.4,2.333333332,0.629196304
d52l6j,14,2,9b,0,4,1,1,5,20,1.041392685,-0.027209054,9,2.272727273,1.041392685,-0.009680177,11,1.818181818,9.875,3.952083333,0.543661206,2.4,3.885000001,0.625506174
eyqn01,14,2,7b,1,5,1,1,1,4,1.079181246,-0.027642465,10,3.666666667,1.041392685,-0.011402404,11,1.909090909,3.375,3.070833333,0.772458062,2.4,3.091666666,0.68217179
d2o7z0,14,1,7b,1,8,2,1,8,32,0.954242509,-0.027955357,7,3.333333333,1.041392685,-0.016376225,9,2.818181818,1.625,0.531249997,0.628206594,1.7,0.834999999,0.644622741
g3rjk9,14,2,4a,0,6,2,1,4,16,0.903089987,-0.028337,6,2.375,1.041392685,-0.009009938,10,2.636363636,4.25,2.156249999,0.694601552,4.8,2.026666668,0.571079276
dqx495,14,2,2b,1,5,1,1,5,20,1,-0.028589655,9,2.1,1.041392685,-0.01138136,10,1.909090909,1.125,0.431249997,0.47208665,2.6,1.961666666,0.658435333
epr94q,14,2,9b,0,7,2,0,0,0,1.041392685,-0.034297104,6,2.272727273,1.041392685,-0.01056144,11,1.818181818,5.875,1.672916666,0.408738395,1.9,1.203333334,0.614325221
em20y8,14,2,7b,0,4,1,1,9,36,0.954242509,-0.010470802,9,3,1,-0.011840349,10,1.666666667,6.375,2.068749999,0.44593869,4.6,1.913333334,0.647578169
dzlo8m,15,1,5a,0,3,1,0,0,0,1.079181246,-0.012203012,7,2.416666667,1,-0.012605708,10,1.7,5.25,1.964583334,0.56766754,7.333333333,2.208333335,0.687412688
evvkm6,14,2,6a,0,5,1,1,2,8,1.079181246,-0.013752783,12,3.166666667,1,-0.01462996,10,2.2,5.875,3.189583332,0.41071468,1.3,0.798333333,0.65629683
d52ljm,14,1,9b,0,9,2,1,10,40,0.77815125,-0.01595463,6,2.428571429,1,-0.012141693,9,1.555555556,3.625,1.45,0.548652768,2,0.850000001,0.625052429
dw1l4o,14,2,5b,0,6,2,1,4,16,1.041392685,-0.0161242,9,2,1,-0.015540456,9,3,3.875,4.779166667,0.513149176,4.333333333,1.248333333,0.388983328
e1n61v,14,1,2b,0,10,2,1,3,12,1.041392685,-0.01920875,9,2.090909091,1,-0.007115828,7,2.1,1.875,0.841666667,0.629803553,3.4,2.063333334,0.68041541
g9op3q,14,2,4b,0,6,2,1,10,40,1.041392685,-0.019397033,10,3.454545455,1,-0.014350192,10,2.5,7.125,2.460416666,0.38012008,5.6,2.775000001,0.6666516
d2o7q2,14,1,3a,0,10,2,0,0,0,1.079181246,-0.019604587,5,2.166666667,1,-0.015330172,9,2.4,6,3.245833334,0.439182025,6,2.033333334,0.686936974
d52lz9,14,2,9a,0,5,1,1,2,8,0.903089987,-0.024070007,7,2.375,1,-0.008286402,9,2,3.125,2.570833333,0.512396453,2.2,1.538333334,0.637174528
dn31vn,14,2,5a,0,5,1,1,1,4,1,-0.024564697,9,3.2,1,-0.010082818,9,2.3,4.375,1.725000001,0.41975292,3,1.555000001,0.647180688
evvkrv,14,2,7a,0,4,1,0,0,0,1.041392685,-0.024999008,10,2.545454545,1,-0.01330266,10,2.4,7.142857143,4.360416667,0.379497095,4.333333333,1.911666665,0.539919775
dw1lzl,15,2,2a,0,1,1,0,0,0,1.079181246,-0.026393145,11,3,1,-0.013465444,10,3,3.714285714,1.822916665,0.379497095,2.2,1.614999999,0.737204493
g02519,14,2,6b,0,5,1,1,7,28,0.954242509,-0.026861218,8,2.444444444,1,-0.010290576,10,2.9,9,2.31875,0.563554668,9.4,2.15,0.622980074
d80o9v,15,2,1a,0,1,1,1,5,20,1,-0.031562024,8,2,1,-0.014047312,9,2.2,4.333333333,1.429166668,0.454338313,2.666666667,1.675,0.445059365
e7jnoy,14,1,5a,0,6,2,0,0,0,0.602059991,-0.03196462,4,2.25,1,-0.008470309,10,1.7,3.875,1.633333333,0.689714689,3.125,2.048333333,0.646692324
d80oly,14,1,2a,0,10,2,1,8,32,1.041392685,-0.033194092,8,2.272727273,1,-0.011678174,10,2.111111111,2.5,1.872916664,0.594169462,2.1,1.121666666,0.738042052
em207p,14,1,7a,0,8,2,1,3,12,1.041392685,-0.03924086,8,3.727272727,1,-0.011608689,10,3.2,4.125,3.464583334,0.480742982,1.3,1.311666666,0.581635515
dn31xn,14,1,4a,0,1,1,1,8,32,0,-0.000881369,1,3,0.954242509,-0.010216183,4,1.222222222,3.75,2.727083334,0.402407903,3.3,1.359999999,0.624407709
e4qkvj,14,2,3a,1,3,1,1,6,24,0.954242509,-0.015916572,9,3.777777778,0.954242509,-0.013124444,9,3.555555556,7.75,2.202083333,0.634330641,6.166666667,1.765,0.552357943
dzloyw,14,1,1b,0,8,2,1,3,12,1.041392685,-0.01883243,11,2.636363636,0.954242509,-0.009242542,9,2.333333333,3,1.41458333,0.457408637,2.7,1.705,0.579682896
d52l8m,14,1,9b,0,6,2,0,0,0,0.954242509,-0.021508589,5,3.555555556,0.954242509,-0.017093474,6,2.444444444,3.25,1.158333334,0.395892545,1.6,0.750000001,0.600091255
dqx40n,14,1,4a,0,8,2,1,7,28,1,-0.02170909,10,1.9,0.954242509,-0.016754823,8,1.666666667,4.75,2.537500001,0.520627519,2,1.148333334,0.602363836
g6lmz0,14,2,4b,0,6,2,1,9,36,1.041392685,-0.022041594,9,2.909090909,0.954242509,-0.008092364,9,3.111111111,6.25,2.702083335,0.43194567,3,1.845000002,0.619062158
epr92x,15,2,7b,0,8,2,1,5,20,1,-0.023936247,9,3.2,0.954242509,-0.008603178,9,2.777777778,6.375,2.860416666,0.539826497,6.2,2.525,0.691410996
eyqnop,15,1,7b,0,6,2,0,0,0,1,-0.02400603,7,1.3,0.954242509,-0.017197728,6,1.555555556,1.857142857,1.281250001,0.297864442,1.5,0.446666666,0.428582958
dzlozl,14,1,1b,0,10,2,1,9,36,1.041392685,-0.024765909,9,2.363636364,0.954242509,-0.011114891,9,3.142857143,3,1.241666666,0.450244605,2.5,0.938333334,0.560662871
g6lmyz,15,2,4a,0,7,2,1,9,36,1.079181246,-0.025030804,11,4.333333333,0.954242509,-0.014106836,9,3.777777778,4.125,2.1625,0.689270818,2.3,1.431666666,0.601497541
g3rjly,14,1,4a,0,3,1,0,0,0,1,-0.030781578,6,2.7,0.954242509,-0.010216183,8,2.222222222,9,2.987499999,0.57218349,3.75,1.685,0.618298133
d52l5m,14,2,9b,0,6,2,0,0,0,1.041392685,-0.030824541,9,2.545454545,0.954242509,-0.01774547,7,3.222222222,10.625,3.522916666,0.5978244,5.5,1.861666668,0.626541647
e4qkxj,14,2,3a,0,1,1,1,3,12,1.079181246,-0.032280643,8,2.333333333,0.954242509,-0.014624778,9,2,4.875,1.402083332,0.486044569,8,1.599999999,0.556295962
dqx4j5,14,2,2b,0,6,2,1,2,8,1,-0.032747197,6,3.3,0.954242509,-0.01847687,8,2.777777778,4.428571429,2.575000002,0.438170564,3.75,1.755,0.59278907
d80o8q,15,1,9a,1,7,2,1,1,4,0.903089987,-0.035563068,6,3.125,0.954242509,-0.013615362,4,1.111111111,6.75,2.918750001,0.52068979,4.166666667,1.033333334,0.428582958
d52l3v,14,1,9b,0,8,2,1,3,12,0,-0.000881369,1,6,0.903089987,-0.012031562,8,2.5,3.125,2.152083332,0.458620842,1.4,0.776666664,0.576423035
evvkzv,14,1,8a,0,9,2,0,0,0,1.041392685,-0.021032243,10,2.363636364,0.903089987,-0.013105077,7,1.625,6.125,2.429166666,0.374191226,5.4,1.856666666,0.581028193
eyqn91,14,1,6b,0,8,2,1,5,20,1,-0.024401679,8,2.8,0.903089987,-0.012292443,8,2.125,6,2.724999999,0.374191226,4.8,2.553333332,0.555496899
e7jn3y,15,2,3a,0,4,1,1,3,12,1.079181246,-0.028327209,9,2.75,0.903089987,-0.011568161,8,2,7.625,2.035416666,0.663306039,6.571428571,1.905,0.508106317
d80op3,14,2,4a,0,5,1,1,10,40,1,-0.031491017,8,4.2,0.903089987,-0.011220933,8,3.875,6.5,2.845833332,0.623742341,5.222222222,2.008333336,0.69287274
dqx48w,14,1,4a,0,10,2,1,6,24,0.77815125,-0.036011241,3,1.833333333,0.903089987,-0.012872741,8,1.285714286,3.125,1.464583333,0.446779352,3,1.388333335,0.611751776
eyqn8z,14,1,6b,1,10,2,0,0,0,0.698970004,-0.078961183,1,3.4,0.903089987,-0.013424742,7,2.25,2.875,1.887500001,0.44366452,1.4,0.704999999,0.63350898
dw1lkl,15,1,5a,1,10,2,0,0,0,0.602059991,-0.015631247,4,2.25,0.84509804,-0.013046982,6,1,4.5,2.254166664,0.922355876,15.83333333,3.378333334,0.595820101
eyqn3j,14,2,7b,0,10,2,1,1,4,0.954242509,-0.020404917,8,3.555555556,0.84509804,-0.011456521,7,1.857142857,4.875,2.527083332,0.683753475,3.8,1.916666667,0.793484416
eyqn5j,15,2,7b,0,5,1,1,1,4,0.84509804,-0.02341821,6,3.714285714,0.84509804,-0.017484554,7,3.285714286,7.285714286,3.104166667,0.482509005,3.571428571,1.596666666,0.682868093
d52lv9,14,2,8a,0,1,1,1,6,20,1.041392685,-0.02527465,10,2.727272727,0.84509804,-0.015343521,7,2.714285714,2.5,2.720833334,0.365554525,4.6,0.961666666,0.49595996
d52l7v,15,2,9b,0,6,2,1,7,28,0.77815125,-0.02693928,5,2.833333333,0.84509804,-0.010366449,7,1.857142857,4.375,2.29583333,0.517362436,2.1,1.153333334,0.646686445
dw1l67,14,2,5b,0,9,2,0,0,0,1.041392685,-0.029430405,9,2,0.84509804,-0.01458915,8,1.875,6.875,4.779166668,0.445900879,8.5,1.936666667,0.622133837
d2o7kq,14,2,6a,0,8,2,0,0,0,1.079181246,-0.032517811,7,4.083333333,0.84509804,-0.011820488,5,2.857142857,4.125,1.139583333,0.69308934,3.2,1.413333333,0.593359944
dw1lyl,14,2,2a,0,7,2,1,8,32,1.041392685,-0.034297104,7,3.454545455,0.84509804,-0.016747383,7,1.714285714,6.625,2.370833332,0.429557444,2.9,1.070000002,0.712157189
epr91x,14,2,7b,1,10,2,0,0,0,1.041392685,-0.01209326,10,1.909090909,0.77815125,-0.015844379,6,1.166666667,3,1.760416667,0.44593869,1.3,1.641666667,0.653559443
dqx43w,14,2,3a,0,7,2,0,0,0,1,-0.024471536,9,1.9,0.77815125,-0.011848073,4,1.333333333,4.75,2.135416666,0.532135624,2.4,1.625000001,0.673520496
d2o7m4,14,1,1a,0,8,2,1,9,36,0.903089987,-0.024681177,6,4.428571429,0.77815125,-0.017171662,6,3.2,2,1.089583337,0.437886072,1.2,0.861666663,0.611200733
dqx4vj,14,1,3b,0,8,2,1,1,4,0.77815125,-0.027251666,5,2,0.77815125,-0.014598866,6,2.666666667,3.25,1.924999998,0.574197983,1.5,1.033333332,0.667687781
g025yr,14,2,5a,0,4,1,1,5,20,0.903089987,-0.038138891,6,4.25,0.77815125,-0.008079601,6,3,4.714285714,2.608333334,0.621051459,2.777777778,1.408333331,0.626379529
d80o33,14,2,1a,0,5,1,1,6,24,1.079181246,-0.021137274,11,1.818181818,0.698970004,-0.017907317,5,1.8,5.571428571,2.195833335,0.352303303,5.625,2.076666667,0.432904077
dzlovw,14,1,1b,0,9,2,0,0,0,0.903089987,-0.022154767,8,4,0.698970004,-0.010359851,5,3.4,2.125,0.970833334,0.350475811,2,1.233333335,0.630784276
e1n63q,14,1,3b,0,6,2,1,4,16,1.041392685,-0.022294299,9,2.636363636,0.698970004,-0.010128979,5,1.2,3,1.214583334,0.411702822,3.2,1.540000003,0.632839062
d2o764,14,1,1a,1,9,2,1,3,12,0.954242509,-0.022898579,8,2.888888889,0.698970004,-0.01776635,5,4,1.75,1.312500002,0.350475811,1,0.509999999,0.579640977
e7jnl8,14,1,2a,0,7,2,1,8,32,0.77815125,-0.026237232,6,3.166666667,0.698970004,-0.017907317,5,2.6,4.375,1.810416667,0.557542914,4.5,2.819999999,0.650306875
g3rjy9,14,1,9a,0,4,1,0,0,0,0.77815125,-0.027916233,6,3.5,0.698970004,-0.010221313,5,2.2,5.75,1.672916666,0.385554863,3.9,1.501666666,0.609810392
d2o7v2,14,1,3a,0,9,2,1,1,4,0.698970004,-0.012822257,5,4.2,0.602059991,-0.018718764,2,3.25,2.142857143,1.14375,0.518729972,2.6,2.003333334,0.652603179
eyqnrj,14,2,1b,0,6,2,1,1,4,1.079181246,-0.01547915,12,2.75,0.602059991,-0.016722274,4,2.25,7,4.395833334,0.528478137,6,2.621666668,0.617375196
eyqn61,14,1,7b,0,10,2,1,5,20,0.77815125,-0.015818725,3,2.666666667,0.602059991,-0.012176477,3,3.5,8.571428571,3.139583333,0.482509005,11.1,3.103333334,0.697364194
g025k3,15,2,4b,0,3,1,1,6,24,0.954242509,-0.03196462,8,2.444444444,0.602059991,-0.015376893,4,2,4.75,2.054166669,0.452531968,7,3.129999999,0.583799179
e7jnx1,14,1,1a,0,5,1,1,9,36,0.698970004,-0.006028886,4,2,0.477121255,-0.015688495,2,2,2.875,1.372916667,0.37662377,4.444444444,1.793333332,0.537266743
g6lm67,14,2,2b,0,1,1,1,1,4,0.954242509,-0.015308104,4,3.333333333,0.477121255,-0.011809454,3,5,4.375,1.870833332,0.411702822,4.5,1.855,0.576459467
e7jnz1,14,1,3a,0,8,2,1,10,40,1.079181246,-0.015555192,6,2,0.477121255,-0.012350438,3,3.666666667,4,3.5125,0.382590436,2.5,1.223333335,0.586243752
d2o730,14,1,1a,0,10,2,1,2,8,0.84509804,-0.034102251,6,3.142857143,0.477121255,-0.020704765,3,3,1.625,2.666666668,0.374191226,1.7,1.643333334,0.646896671
eyqnm1,15,1,4b,0,1,1,1,2,8,0.477121255,-0.054744265,2,2,0.477121255,-0.012350438,3,2,4.714285714,1.410416668,0.383291577,6.714285714,3.606666664,0.705362188
e7jn9y,14,1,1a,0,8,2,1,5,20,0,-0.000881369,1,6,0.301029996,-0.000902899,2,5.5,2.625,1.335416668,0.452531968,2.6,1.76,0.695439893
dw1l3o,14,2,1b,0,5,1,1,10,40,1.079181246,-0.022956592,6,2.25,0.301029996,-0.016780863,1,2,6.5,2.075,0.551806037,5.9,1.816666667,0.693903566
e7jnp8,14,1,3a,0,8,2,1,2,8,0.477121255,-0.057667131,2,1,0.301029996,-0.018306971,2,1,4.375,1.604166663,0.581415668,2,0.978333333,0.62763107
d52lmv,14,1,9b,1,7,2,0,0,0,0,-0.000881369,1,2,0,-0.000676998,1,2,5.25,1.543750002,0.483780659,4.4,1.711666667,0.616409062
dqx4r5,14,2,2b,0,10,2,0,0,0,0.84509804,-0.029770101,6,3.428571429,0,-0.000902899,1,6,5.125,4.512499999,0.556878706,2.9,1.936666667,0.65527831
eyqn7p,15,1,2b,0,8,2,1,1,4,0.477121255,-0.030073297,3,3,0,-0.000676998,1,6,5.375,1.389583333,0.400833257,3.9,2.015,0.622991329
